Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
19548,S Francisco Xavier,Lisbon,Cacheu,Maranhao,1766,131,"Tomás, Manoel da Silva"
19549,S Pedro Gil,Lisbon,Cacheu,Maranhao,1768,80,"Franco, Bernardo"
19551,S Pedro,Lisbon,Bissau,Maranhao,1772,176,"Florêncio, Antônio"
19554,S Sebastião,Lisbon,Cacheu,Maranhao,1765,137,"Rosa, Verissimo Duarte"
19555,S Sebastião,Lisbon,Bissau,Maranhao,1768,136,"Santos, Leonardo José dos"
19557,S Sebastião,,Bissau,Maranhao,1772,100,"Santos, Leonardo José dos"
19559,S Antônio,Lisbon,Cacheu,Maranhao,1760,129,"Azevedo, José Ferreira de"
19560,S Antônio,Lisbon,Bissau,Maranhao,1768,104,"Marques, Manoel Isidoro"
19566,NS da Piedade e Almas,Lisbon,Bissau,Maranhao,1772,236,"Travassos, José Manoel"
19567,NS da Piedade e Almas (a) Amizade,Lisbon,Cape Verde Islands,Maranhao,1775,3,"Travassos, José Manoel"
19570,NS de Nazaré e S Antonio de Lisboa,Lisbon,Cape Verde Islands,Maranhao,1775,3,"Pontes, Manoel Ribeiro"
19572,NS de Nazaré e Santana,Lisbon,Cacheu,Maranhao,1782,211,"Chaves, Domingos Antônio"
19573,NS de Nazaré e Santana (a) Farinheira,Lisbon,Bissau,Maranhao,1785,226,"Rosa, Joaquim dos Santos"
19574,S Francisco Xavier,Lisbon,Cacheu,Maranhao,1764,151,"Almeida, Manoel Gomes de"
19575,S Francisco Xavier,Lisbon,Cacheu,Maranhao,1765,137,"Almeida, Manoel Gomes de<br/> Tomás, Manoel da Silva"
19577,S Francisco Xavier,Lisbon,Cacheu,Maranhao,1777,218,"Caldeira, Francisco Jaques"
19578,S Francisco Xavier,Lisbon,Cacheu,Maranhao,1778,125,"Caldeira, Francisco Jaques"
19579,S Francisco Xavier,Lisbon,Cacheu,Maranhao,1779,171,"Caldeira, Francisco Jaques"
19582,NS da Esperança,Lisbon,Cacheu,Maranhao,1759,186,"Santos, José dos"
19583,NS da Esperança,Lisbon,Cacheu,Maranhao,1760,169,"Santos, José dos"
19584,NS da Esperança,Lisbon,Bissau,Maranhao,1767,135,"Chaves, Domingos Antônio"
19585,S Paulo,Lisbon,Cacheu,Maranhao,1767,126,"Marques, Manoel Isidoro"
19586,S Paulo,Lisbon,Cacheu,Maranhao,1768,173,"Rosa, Verissimo Duarte"
19587,S Paulo,Lisbon,Bissau,Maranhao,1770,97,"Rosa, Verissimo Duarte"
19589,S Paulo,Lisbon,Bissau,Maranhao,1773,169,"Santos, Leonardo José dos"
19590,S Paulo,Lisbon,Bissau,Maranhao,1774,120,"Chaves, Domingos Antônio"
19591,NS da Oliveira,Lisbon,Cacheu,Maranhao,1769,170,"Carvalho, Antônio José de"
19594,NS da Oliveira,Lisbon,Cacheu,Maranhao,1774,210,"Cabo, Manoel Luis do"
19595,NS da Oliveira,Lisbon,Bissau,Maranhao,1776,203,"Cabo, Manoel Luis do"
19601,S Marçal,Lisbon,Bissau,Maranhao,1764,146,"Franco, Bernardo"
19602,S Marçal,Lisbon,Cacheu,Maranhao,1766,138,"Carvalho, Antônio José de"
19603,S Marçal,Lisbon,Cacheu,Maranhao,1767,136,"Lima, Jerônimo Gonçalves"
19605,S Francisco de Paula,Lisbon,Bissau,Maranhao,1778,162,"Florêncio, Antônio"
19606,S Francisco de Paula,Lisbon,Bissau,Maranhao,1779,197,"Silva, Francisco de Sales e"
19607,S Francisco de Paula,Lisbon,Bissau,Maranhao,1780,208,"Franco, João"
19608,S Francisco de Paula,Lisbon,Bissau,Maranhao,1781,146,"Franco, João"
19610,NS do Bom Despacho,,Cape Verde Islands,Maranhao,1778,5,
19615,S Aníbal,,Bissau,Maranhao,1788,14,"Dias, Joaquim Bernardo"
19616,NS das Necessidades,Lisbon,Cacheu,Maranhao,1761,147,"Goilão, Tomas Luis"
19617,NS das Necessidades,Lisbon,Bissau,Maranhao,1766,128,"Melo, Gonçalo Pacheco de"
19618,NS das Necessidades,Lisbon,Bissau,Maranhao,1767,166,"Rosa, Verissimo Duarte"
19619,NS das Necessidades,Lisbon,Bissau,Maranhao,1768,163,"Cabo, Manoel Luis do"
19620,NS das Necessidades,Lisbon,Cacheu,Maranhao,1770,177,"Cabo, Manoel Luis do"
19621,NS do Monte do Carmo,Lisbon,Cacheu,Maranhao,1776,174,"Reis, Sebastião Alberto Dionísio dos"
19622,NS do Monte do Carmo,Lisbon,Bissau,Maranhao,1778,184,"Costa, Geraldo Pereira da"
19623,NS do Monte do Carmo,Lisbon,Cacheu,Maranhao,1780,181,"Silva, Francisco de Sales e"
19624,NS do Monte do Carmo,Lisbon,Bissau,Maranhao,1781,193,"Silva, Francisco de Sales e"
19626,S Jorge,Lisbon,Cacheu,Maranhao,1783,255,"Paiva, Joaquim Valério de"
19627,S Domingos,Lisbon,Cacheu,Maranhao,1763,122,"Pereira, Antônio"
19631,NS de Belém,Lisbon,Cacheu,Maranhao,1784,4,"Leal, Antônio da Costa"
19632,NS de Belém,Lisbon,Cacheu,Maranhao,1788,312,"Leão, José das Neves"
19635,Santíssimo Sacramento e NS da Lapa,Lisbon,Bissau,Maranhao,1776,194,"Duarte, Joaquim Ribeiro"
19636,Santíssimo Sacramento e NS da Lapa,Lisbon,Bissau,Maranhao,1777,77,"Santos, Feliciano dos"
19642,Santana S José e Almas,Lisbon,Cacheu,Maranhao,1774,100,"Santos, Feliciano dos"
40101,NS da Piedade Prudente Amigo,Lisbon,Benguela,Maranhao,1802,,"Ferreira, Guilherme José<br/> Figueiredo, Antônio Peres de"
40102,S José Diligente Vulcano,"Bahia, port unspecified",Luanda,Maranhao,1803,,"Alves, Isidoro"
40106,NS do Comércio Alecrim,"Bahia, port unspecified",Luanda,Maranhao,1802,,
40137,Carolina,Lisbon,Luanda,Maranhao,1804,,"Ferreira, Maurício da Silva"
40138,Americana,"Bahia, port unspecified",Luanda,Maranhao,1804,,"Salazar, João Monteiro"
40155,S José Diligente Vulcano,Lisbon,Luanda,Maranhao,1804,,"Alves, Isidoro"
40160,Diana,,Benguela,Maranhao,1804,,"Silva, Manoel de Jesus da"
40169,Primoroso,"Bahia, port unspecified",Luanda,Maranhao,1805,,"Vasconcelos, José Justiniano de"
40189,NS da Conceição e S Rita,"Pernambuco, port unspecified",Luanda,Maranhao,1806,,"Costa, Manoel Pereira da"
40638,Conceição de Maria Santíssima,"Pernambuco, port unspecified",Sao Tome or Princes Island,Maranhao,1816,,"Apresentação, Manoel da"
40800,Minerva,,Bissau,Maranhao,1793,205,"José, Joaquim"
40824,NS dos Prazeres e Providência,,"Africa., port unspecified",Maranhao,1783,36,"Pontes, Félix Antônio de"
41145,NS da Conceição e S Antônio,,"Africa., port unspecified",Maranhao,1779,288,"Mota, Francisco Luís da"
41148,NS dos Prazeres e Santíssimo Sacramento,,"Africa., port unspecified",Maranhao,1779,160,"Ferreira, José Antônio"
41149,Santana e S José,Lisbon,Cacheu,Maranhao,1779,257,"Duarte, Joaquim Ribeiro"
41150,S Antonio e Almas,,"Africa., port unspecified",Maranhao,1779,80,"Ferreira, Domingos"
41153,Africano,Lisbon,Bissau,Maranhao,1780,328,"Almeida, Manoel Gomes de"
41166,S Pedro Gonçalves,Lisbon,Bissau,Maranhao,1781,114,"Santos, Feliciano dos"
41177,NS de Nazaré e Santana,Lisbon,Cape Verde Islands,Maranhao,1786,,"Rosa, Joaquim dos Santos"
41180,Africano,,Bissau,Maranhao,1781,193,"Santos, José de Azevedo"
41195,S Antonio de Lisboa Aurio,Lisbon,Bissau,Maranhao,1781,301,"Caldeira, Francisco Jaques"
41199,Divino Espírito Santo,,"Africa., port unspecified",Maranhao,1783,37,"Costa, José Correa da"
41201,NS Mãe de Deus e S Antônio,,"Africa., port unspecified",Maranhao,1783,138,"Vanez, José Eusébio"
41202,Minerva e S Macário,Lisbon,Cacheu,Maranhao,1788,,"Trocato, Joaquim José"
41203,Minerva e S Macário,,Cacheu,Maranhao,1789,,"Trocato, Joaquim José"
41204,NS da Conceição e S Antônio,,Luanda,Maranhao,1788,,"Ribeiro, Domingos Antonio"
41206,Aníbal,Lisbon,Bissau,Maranhao,1783,,"Cruz, José Francisco da"
41207,S Rosa Paquete de América,Lisbon,Portuguese Guinea,Maranhao,1787,,"Leal, Antonio da Costa<br/> Bastos, João da Rocha"
41208,Americana,Lisbon,Bissau,Maranhao,1784,,"Lima, João Lopes"
41225, ,,Cacheu,Maranhao,1695,102,
41226, ,,Cape Verde Islands,Maranhao,1696,158,
41227, ,,Cacheu,Maranhao,1701,115,
41228, ,,Benin,Maranhao,1703,170,
41229, ,,Benin,Maranhao,1708,87,
41230, ,,Benin,Maranhao,1715,85,
41234,S Francisco Xavier e S Antonio (a) Ana,Lisbon,Cacheu,Maranhao,1740,69,"Luz, Manoel Egues da"
41235,NS Madre de Deus S Antônio e Almas,Lisbon,Cacheu,Maranhao,1741,7,"Veloso, Antônio José"
41237,NS da Mãe de Deus e S Antônio e Almas,Lisbon,Cacheu,Maranhao,1743,92,"Paulo, José"
41244, ,,Cacheu,Maranhao,1693,145,"Luís, Manoel"
41246,NS do Monte do Carmo e S José (a) Tejo,Lisbon,Bissau,Maranhao,1752,,"Gonçalves, Felipe"
41256,Americano,Lisbon,Bissau,Maranhao,1788,,"Costa, Silvestre Manoel Pereira da"
41257,Socorro,Cape Verde Islands,Bissau,Maranhao,1826,,Freitas
41259,Sociedade Feliz,Lisbon,Bissau,Maranhao,1821,,
41260,Sociedade Feliz,Lisbon,Cacheu,Maranhao,1820,,"Chaves, Antônio dos Santos"
41261,Felicidade,Lisbon,Bissau,Maranhao,1818,,"Moura, Cristiano José de"
41265,Indústria,Lisbon,Cacheu,Maranhao,1815,,"Lourenço, Valerio"
41268,Indústria,Lisbon,Cacheu,Maranhao,1815,,"Dias, João José<br/> Lourenço, Valério"
41269,Luanda,,Luanda,Maranhao,1797,,
41270,Ana do Rio,,Bissau,Maranhao,1802,,"Santos, Martinho José dos"
41271,Ana do Rio,,"Africa., port unspecified",Maranhao,1801,,
41275,S João Batista Alerta,Lisbon,Gabon,Maranhao,1805,,"Camacho, Manoel Marques"
41282,Beija Flor,Lisbon,Cacheu,Maranhao,1815,,"Ferreira, Antonio Xavier"
41283,Beija Flor,Lisbon,Cacheu,Maranhao,1815,,"Ferreira, Antonio Xavier"
41290,Ninfa do Mar,Lisbon,Bissau,Maranhao,1810,,
41291,Intrépido,,Cacheu,Maranhao,1813,,"Medeiros, Gregório Dias de"
41296,Indústria,Lisbon,Cacheu,Maranhao,1812,,"Dias, João José"
41297,Expedição,Lisbon,Bissau,Maranhao,1811,,"Pacheco, João Salustiano"
41298,Expedição,Lisbon,Bissau,Maranhao,1812,,"Pacheco, João Salustiano"
41777,NS da Penha da França,Cape Verde Islands,Cacheu,Maranhao,1792,27,"Martins, Pedro<br/> Dias, José Antonio"
41778,Flor da América,,Cacheu,Maranhao,1795,231,"Leão, José das Neves"
41785,Leonina,Lisbon,Bissau,Maranhao,1797,304,"Pereira, Manoel Antônio"
41786,Aurora de Lisboa,Lisbon,Cacheu,Maranhao,1818,,"Barros, Antônio Daniel Batista de"
41787, ,,Bissau,Maranhao,1755,,"Costa, José da Silva"
41788,S Pedro Gonçalves,Lisbon,Bissau,Maranhao,1779,174,"Santos, Feliciano dos"
41857,S Jorge,Lisbon,Cacheu,Maranhao,1787,325,"Medeiros, Tomás Joaquim de"
41858,Amável Donzela,Lisbon,Cacheu,Maranhao,1795,,"Rosendo, Joaquim Adrião"
46297,Princesa Atlante,,Bissau,Maranhao,1806,,"Leão, José das Neves"
46299,S Antônio Tejo,Lisbon,Bissau,Maranhao,1802,,"Cruz, José Francisco da"
46300,S Antônio Tejo,,Bissau,Maranhao,1803,,"Cruz, José Francisco da"
46304,Paquete Cortes,,Bissau,Maranhao,1801,,"Santos, Martinho José dos<br/> Fonseca, José Antônio da"
46305,S José Feliz,Lisbon,Bissau,Maranhao,1799,189,
