Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
46455,Delfim,Lisbon,Mozambique,Maranhao,1817,,"Santos, Vicente Tomás dos"
46735,NS de Belém,Lisbon,Cacheu,Maranhao,1785,190,"Lima, João Francisco"
46801,NS do Monte do Carmo e Almas,,Bissau,Maranhao,1792,,"Inácio, Gregório José"
46802,NS de Belém,,Cacheu,Maranhao,1791,,"Leão, José das Neves"
46803,Correio de Angola,,Benguela,Maranhao,1793,211,"Flamante, Manoel Francisco"
46804,S João Batista,,Bissau,Maranhao,1792,89,"Falcão, José"
46805,S Aníbal,,Bissau,Maranhao,1790,248,"Dias, Joaquim Bernardo"
47102,Oliveira,"Pernambuco, port unspecified",Cabinda,Maranhao,1818,,"Paiva, Joaquim Herculano de"
47117,Conceição Aliança,"Pernambuco, port unspecified",Mozambique,Maranhao,1819,210,"Palmeira, Joaquim Epifânio Lopes"
47133,Bela Elisa,"Pernambuco, port unspecified",Luanda,Maranhao,1818,,"Santana, José Joaquim de"
47196,Santana e S Pedro do Sul e Santíssimo Sacramento,,Luanda,Maranhao,1787,386,"Melo, Francisco José de"
47201,S José e Bom Jesus dos Navegantes,,Mozambique,Maranhao,1797,,"Ferreira, José Joaquim"
47204,S Antônio e Almas,,Costa da Mina,Maranhao,1790,184,"Cobrão, Francisco Pereira"
47222,NS das Maravilhas,,"Africa., port unspecified",Maranhao,1783,50,"Belfort, João"
47223,NS de Nazaré e Santana,,"Africa., port unspecified",Maranhao,1783,227,"Cruz, José Francisco da"
47224,NS da Conceição S Antônio e Almas,,"Africa., port unspecified",Maranhao,1783,71,"Antônio, João"
47225,NS da Apresentação e S Antônio,,"Africa., port unspecified",Maranhao,1783,39,"Francisco, Manoel"
47226,S Pedro Gonçalves,Lisbon,Bissau,Maranhao,1782,281,"Santos, Feliciano dos"
47237,Soberano,Lisbon,Bissau,Maranhao,1792,188,"Medeiros, Gregório Dias de"
47238,S Antônio Oeiras,,Luanda,Maranhao,1787,352,"Francisco, José"
47239,NS de Belém,Lisbon,Cacheu,Maranhao,1790,73,"Leão, José das Neves"
47240,NS da Conceição e Almas,Lisbon,Whydah,Maranhao,1784,,"Chaves, Domingos Antônio"
47241,NS da Piedade e S Antônio,,Bissau,Maranhao,1797,228,"Carvalho, Antônio José de"
47242,Flor da América,,Bissau,Maranhao,1797,212,"Caraboni, Joaquim da Trindade"
47243,S Pedro e S Paulo,,Cacheu,Maranhao,1789,55,"Vargues, José Antonio de"
47244,S Pedro e S Paulo,,Cacheu,Maranhao,1790,56,"Silva, Matias José da"
47245,S Macário e Minerva,,Bissau,Maranhao,1795,126,"Antônio, Tomás"
47246,S Macário e Minerva,,Cacheu,Maranhao,1789,124,"Barros, Joaquim José Torquato de"
47247,S Francisco de Paula,Lisbon,Cacheu,Maranhao,1782,167,"Franco, João<br/> Pereira, Eduardo Joaquim"
47249,NS da Conceição Expediente,,Cacheu,Maranhao,1795,104,"Dias, José Antônio"
47250,NS da Conceição Expediente,Lisbon,Cacheu,Maranhao,1797,218,"Medeiros, Gregório Dias de"
47251,S Macário e Minerva,,Cacheu,Maranhao,1788,58,"Barros, Joaquim José Torquato de"
47252,S Pedro e S Paulo,,Cacheu,Maranhao,1788,72,"Vargas, José Antônio"
47253,Dois Irmãos,Lisbon,Bissau,Maranhao,1788,236,"Caraboni, Joaquim da Trindade"
47254,Bom Jesus dos Navegantes,,Luanda,Maranhao,1788,465,"Dias, João de Oliveira"
47256,Aníbal,Lisbon,Bissau,Maranhao,1795,200,"Caraboni, Joaquim da Trindade"
47257,Amável Donzela,Lisbon,Cacheu,Maranhao,1789,168,"Santos, José de Azevedo"
47258,Amável Donzela,,Cacheu,Maranhao,1790,265,"Oliveira, José de<br/> Lima, Manoel de Abreu"
47259,Amável Donzela,,Cacheu,Maranhao,1791,138,"Madeira, Joaquim Lázaro"
47260,Amável Donzela,Lisbon,Cacheu,Maranhao,1792,311,"Rosendo, Joaquim Adrião<br/> Madeira, Joaquim Lázaro"
47261,Aníbal,Lisbon,Bissau,Maranhao,1786,278,"Bastos, João da Rocha"
47262,Americano,Lisbon,Bissau,Maranhao,1786,125,"Silva, Francisco de Sales e"
47312,Pensamento Feliz,"Pernambuco, port unspecified",Luanda,Maranhao,1817,,"Baduem, Joaquim Antônio"
47323,S Isabel Rainha de Portugal,Lisbon,Cape Verde Islands,Maranhao,1775,4,"Pederneira, Joaquim Pereira"
47324,S Isabel Rainha de Portugal,Lisbon,Cape Verde Islands,Maranhao,1775,1,"Pederneira, Joaquim Pereira"
47366,S Macário e Minerva,Lisbon,Bissau,Maranhao,1791,124,"Barros, Joaquim José Torquato de"
47372,NS da Conceição Expediente,,Cacheu,Maranhao,1793,163,"Dias, José Antônio"
47373,NS da Conceição Expediente,,Cacheu,Maranhao,1794,199,"Dias, José Antônio"
47374,S Macário e Minerva,Lisbon,Bissau,Maranhao,1792,119,"Barros, Joaquim José Torquato de"
47467,NS da Piedade e S Antônio,,Bissau,Maranhao,1792,158,"Rocha, José Ferreira da"
47468,NS da Piedade e S Antônio,,Bissau,Maranhao,1793,194,"Rocha, José Ferreira da"
47469,NS da Piedade (a) Mariana Querida,,Bissau,Maranhao,1794,142,"Rocha, José Ferreira da"
47496,NS da Graça e Infante Carlota,Lisbon,Bissau,Maranhao,1790,185,"Maurício, José Antônio"
47498,S Antônio e S Frutuoso,,Bissau,Maranhao,1789,,"Gomes, João dos Santos"
47509,S Macário e Minerva,,Bissau,Maranhao,1794,235,"Barros, Joaquim José Torquato de<br/> Viriato, Joaquim José"
47510,NS das Dores e Boa Harmonia,,Bissau,Maranhao,1794,120,"Medeiros, Gregório Dias de"
47538,Carlota,Lisbon,Benguela,Maranhao,1818,,"Carneiro, José Domingues"
47686,S João Batista,Lisbon,Cape Verde Islands,Maranhao,1775,,"Silva, Francisco de Sales e"
47719,Americano,,Bissau,Maranhao,1787,226,"Costa, Silvestre Manoel Pereira da"
