Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
113258,"Conceição, S Antônio e Almas",,"Pernambuco, port unspecified",Sao Luis,1794,53,"Souza, José Joaquim de"
113259,S Rita,,"Pernambuco, port unspecified",Sao Luis,1795,71,"Álvares, Isidoro"
113260,S António Sertório,,"Pernambuco, port unspecified",Sao Luis,1795,292,"Antunes, João Xavier"
113261,S José e Almas,,"Pernambuco, port unspecified",Sao Luis,1795,30,"Porsincula, Manoel Fernandes da"
113262,Santíssimo Sacramento,,"Bahia, port unspecified",Sao Luis,1795,155,"Santos, Manoel Pinto dos"
113263,Servido,,"Pernambuco, port unspecified",Sao Luis,1795,58,"Santos, Martinho José dos"
113264,S Rita,,"Pernambuco, port unspecified",Sao Luis,1796,92,"Alves, Isidoro"
113265,"Piedade, S Antônio e Almas",,"Bahia, port unspecified",Sao Luis,1796,112,"Ferreira, Jacinto José"
113266,Bom Jardim,,"Pernambuco, port unspecified",Sao Luis,1796,23,"Magalhães, Francisco Antônio Pontes"
113267,Corpo Santo,,"Pernambuco, port unspecified",Sao Luis,1796,164,"Medeiros, Luís José de"
113268,Santíssimo Sacramento,,"Bahia, port unspecified",Sao Luis,1796,236,"Santos, Manoel Pinto dos"
113269,NS da Vitória,,"Pernambuco, port unspecified",Sao Luis,1796,200,"Veigas, João Pedro"
113270,Paquete do Maranhão,,"Bahia, port unspecified",Sao Luis,1796,89,"Xavier, Manoel José"
113271,Conceição,,"Pernambuco, port unspecified",Sao Luis,1797,72,"Cruz, Francisco Antônio da"
113272,NS de Guadalupe,,"Bahia, port unspecified",Sao Luis,1797,68,"Martins, Isidoro"
