Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
47037,S José Despique,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1815,,"Claro, Anacleto Elias"
47038,Brasileiro,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1815,,"Souza, André Estácio de"
47077,Tamerlão,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1815,,"Loiro, Luís de Murça"
47079,NS da Conceição e Sr dos Passos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1815,,"Medões, Bernardo da Silva"
47179,Gavião,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1815,,"Coelho, João Batista"
47182,S Lourenço,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1815,,"Vilasboas, João da Silveira"
47183,Diligente,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1815,,"Leonardo, Severo"
47219,Cabo Verde (a) Cinzento,"Pernambuco, port unspecified",Princes Island,"Pernambuco, port unspecified",1815,,
47220,Cândida,"Pernambuco, port unspecified",Cabinda,"Pernambuco, port unspecified",1815,,
47328,Marquês de Pombal,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1815,,
49781,S Marcos,"Pernambuco, port unspecified",Mozambique,"Pernambuco, port unspecified",1815,,"Bonifácio, João"
49783,Feliz Dias,"Pernambuco, port unspecified",Mozambique,"Pernambuco, port unspecified",1815,,"Negrão, Pedro José"
41267,S José e Santana,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1815,,"Barbosa, Antônio de Paula"
41280,General Silveira,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1815,,"Carvalho, Francisco de"
41281,Carolina,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1815,,
48599,D Domingos,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1815,,"Preleluê, João de"
48605,Aurora,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1815,,"Gomes, Inácio Manoel"
48607,Aventureiro da Aurora,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1815,,"Sá, Manoel Gomes de"
48608,Bonfim,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1815,,"Machado, Teotônio Vicente"
48609,Bonfim,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1815,,"Machado, Teotônio Vicente"
48611,Protetor,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1815,,"Sá, Joaquim Manoel de"
48612,Cipião (a) Vigilante Africano,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1815,,"Gomes, Manoel José"
48613,Trajano,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1815,,"Tavares, João Jacinto"
48619,NS da Conceição e Sr dos Passos,"Pernambuco, port unspecified",Luanda,"Bahia, port unspecified",1815,,"Reis, Belchior José dos"
7401,Caveira,"Bahia, port unspecified",Cap Lopez,"Bahia, port unspecified",1816,308,"Pereira, Francisco de Souza<br/> Teixeira, Francisco Guedes"
7403,Cipião Africano,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,275,"Pinto, Luís"
7404,Deligente,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1816,181,
7406,Águia,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,385,"Prado, Felipe Rodrigues"
7407,S Lourenço,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1816,464,"Vilasboas, João da Silveira"
7408,Paquete da Bahia,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1816,397,"Almeida, Manoel Joaquim de"
7409,Amizade,"Bahia, port unspecified",Cap Lopez,"Bahia, port unspecified",1816,246,"Franco, Luís Pereira"
7410,Sinceridade e Atalante,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1816,220,"Souza, José Lourenço de<br/> Costa, José Pereira da"
7411,Bela Americana do Rio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1816,414,"Lisboa, Manoel José Antônio"
7412,NS da Conceição e Sr dos Passos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1816,413,"Medões, Bernardo da Silva"
7413,Ave Maria,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1816,574,"Crisóstomo, João"
7419,Ceres,"Bahia, port unspecified",Cap Lopez,"Bahia, port unspecified",1816,270,"Anjos, Domingos Gonçalves dos"
40636,NS do Rosario,"Pernambuco, port unspecified",Cabinda,"Pernambuco, port unspecified",1816,,"Cardoso, Francisco José"
40637,Magalona,"Pernambuco, port unspecified",Cacheu,"Pernambuco, port unspecified",1816,,"Costa, Mariano José da"
40640,Bizarria,"Pernambuco, port unspecified",Momboza or Zanzibar,"Pernambuco, port unspecified",1816,,"Salgueiro, Manoel Fernandes"
40641,Aurora,"Pernambuco, port unspecified",Malembo,"Pernambuco, port unspecified",1816,,"Gomes, Inácio Manoel"
40645,Eríoco,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1816,,"Balones, Manoel José"
40646,Dois Amigos,"Pernambuco, port unspecified",Sao Tome or Princes Island,"Pernambuco, port unspecified",1816,,"Álvares, Francisco Reinaldo de"
40647,Bonfim,"Pernambuco, port unspecified",Inhambane,"Pernambuco, port unspecified",1816,,"Machado, Teotônio Vicente"
40779, ,"Pernambuco, port unspecified",Quilimane,"Pernambuco, port unspecified",1816,,
40780,Aventureiro da América,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1816,,"Ferreira, Antônio Basílio"
40781,NS da Conceição,"Pernambuco, port unspecified",Momboza or Zanzibar,"Pernambuco, port unspecified",1816,,"Borba, Nicolau Antônio da"
40782,NS do Rosario,"Pernambuco, port unspecified",Cabinda,"Pernambuco, port unspecified",1816,,
40827,Americana Portuguesa,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,
46757,S João do Rio (a) S João de Deus,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,"Ferreira, Pedro Gomes"
46778,Dolores,"Bahia, port unspecified","Africa., port unspecified","Bahia, port unspecified",1816,,
46794,Diana do Monte,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,"Araújo, Joaquim Luís de"
46796,Amizade,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,
46892,S Marcos,"Pernambuco, port unspecified",Quilimane,"Pernambuco, port unspecified",1816,,
47075,Vitória,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1816,,"Magalhães, Custódio da Costa"
47080,Luxúria,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,"Oliveira, Maurício da Costa de"
47081,Flor da Bahia,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1816,,"Gomes, José Martins"
